station_id,coordinates_lon,coordinates_lat,type,addressStreet,addressZipCode,bikesAvailable,docksAvailable,name,timeZone,totalDocks,total_num_rides,std_rides,station_lat,station_lon,start_num_rides,end_num_rides,st_per_in,ed_per_in,st_per_out,ed_per_out,ttl_per
3067,-75.19973,39.96411,Point,631 N. 39th St.,19104,9,8,"39th & Mt. Vernon, Mantua Haverford Community Center",Eastern Standard Time,17,2389,-1.04,39.96411,-75.19973,1288,1101,53.9%,46.1%,0.20%,0.17%,0.18%
3068,-75.16711,39.93549,Point,1201 S. Broad St.,19146,11,7,Broad & Federal,Eastern Standard Time,18,14368,0.20,39.93549,-75.16711,7273,7095,50.6%,49.4%,1.11%,1.09%,1.10%
3069,-75.15038,39.93704,Point,403 Christian St.,19147,17,6,4th & Christian,Eastern Standard Time,23,14733,0.24,39.93704,-75.15038,7347,7386,49.9%,50.1%,1.12%,1.14%,1.13%
3070,-75.13983,39.96062,Point,117 Spring Garden St.,19123,9,10,"Spring Garden Station, MFL",Eastern Standard Time,19,9122,-0.34,39.96062,-75.13983,4419,4703,48.4%,51.6%,0.67%,0.72%,0.70%
3071,-75.18788,39.96173,Point,3170 Baring St.,19104,7,6,"32nd & Baring, Drexel Park",Eastern Standard Time,13,7916,-0.47,39.96173,-75.18788,4470,3446,56.5%,43.5%,0.68%,0.53%,0.61%
3072,-75.14541,39.93445,Point,925 S. Front St.,19147,22,3,Front & Carpenter,Eastern Standard Time,25,9152,-0.34,39.93445,-75.14541,4357,4795,47.6%,52.4%,0.67%,0.74%,0.70%
3073,-75.15242,39.96143,Point,802 Spring Garden St.,19123,7,8,9th & Spring Garden,Eastern Standard Time,15,9156,-0.34,39.96143,-75.15242,4549,4607,49.7%,50.3%,0.69%,0.71%,0.70%
3074,-75.20987,39.95511,Point,160 S. 44th St.,19104,8,7,44th & Walnut,Eastern Standard Time,15,9727,-0.28,39.95511,-75.20987,5077,4650,52.2%,47.8%,0.78%,0.72%,0.75%
3075,-75.16125,39.96718,Point,1413 Fairmount Ave.,19130,9,3,Fairmount & Ridge,Eastern Standard Time,12,8879,-0.37,39.96718,-75.16125,4917,3962,55.4%,44.6%,0.75%,0.61%,0.68%
3077,-75.16351,39.97207,Point,1617 Girard Ave.,19130,1,18,17th & Girard,Eastern Standard Time,19,4432,-0.83,39.97207,-75.16351,2591,1841,58.5%,41.5%,0.40%,0.28%,0.34%
